,uniqueID,date,construct,cell,protocol,sweep,velocity,kcant,dkcant,osm,Rs,Rscomp,Cm,seal,vhold,vstep,peaki,tpeaki,peakf,tpeakf,peakw,tpeakw,wpeakf,leak,offset,stdev,delay,thresh,threshind,fthresh,wthresh,slope,inv_slope,g,i,workres
10,20191213-2-scan-80,20191213,mp1,2,scan-80,16,40,0.63,0.04,341,9.002,50,30.15,6.10486233,-80.00621908,-80.00321249,34.14348171,631.44,665.20999,650.685,532.9900131,749.005,505.7931716,-13.10532732,0.329170617,3.724362511,-19.245,18.95098317,4533,475.8142073,245.8155823,0.009,111.1111111,3.00E-11,-2.400096375,266.677375
11,20191216-1-scan-80,20191216,mp1,1,scan-80,1,40,7.62,0.44,322,5.929,50,16.35,1.118250759,-80.0194771,-80.01739394,646.1742072,653.28,427.4114291,649.805,574.8028764,744.725,565.921726,-71.55772217,0.106835727,11.9780376,3.475,59.99702371,4704,294.2182715,405.0678538,1.997,0.500751127,3.00E-11,-2.400521818,1.202064005
12,20191218-2-scan-80,20191218,mp1,2,scan-80,4,40,0.73,0.04,313,5.34,50,18.21,9.323291262,-80.02320974,-80.02114784,586.7768332,657.04,210.027658,649.965,218.5373535,747.285,195.5745462,-8.583150251,-0.566299335,3.582500957,7.075,18.47880412,4706,144.8729616,128.4836948,6.3,0.158730159,3.00E-11,-2.400634435,0.381053085
13,20191218-3-scan-80,20191218,mp1,3,scan-80,10,40,0.73,0.04,318,6.246,50,20.86,1.904525348,-80.02036349,-80.01911477,1410.759991,659.68,276.4638193,650.205,256.7055066,747.005,227.7732357,-42.01590888,-0.668616468,5.14508511,9.475,26.39404202,4694,174.6466398,151.5392312,16.394,0.060997926,3.00E-11,-2.400573443,0.146430001
14,20191221-1-scan-80,20191221,mp1,1,scan-80,13,40,0.62,0.04,319,7.572,40,16.9,0.299351397,-80.01206158,-80.01020086,219.2654999,653.68,450.676913,650.485,411.0128408,913.885,225.3134273,-267.2847446,7.944460315,5.508846384,3.195,35.48869223,4793,318.2373161,181.9382246,3.313,0.301841232,3.00E-11,-2.400306026,0.724511327
15,20200115-1-scan-80,20200115,mp1,1,scan-80,8,40,7.34,0.43,0,5.668,45,22.56,0.772522484,-80.01108784,-80.00808284,556.8496199,651.36,1152.909902,650.085,1329.238542,806.885,1182.670791,-103.5712092,0.563464461,9.120114026,1.275,46.16403459,4712,789.4899968,780.9152827,2.242,0.44603033,3.00E-11,-2.400242485,1.070580948
16,20200120-2-scan-80,20200120,mp1,2,scan-80,10,40,7.59,0.44,325,4.221,50,22.07,1.064350418,-80.01473314,-80.01319792,293.3136522,653.08,410.8021552,650.125,438.4404723,737.805,428.4375564,-75.17705802,-0.559591506,4.155605481,2.955,21.33761891,4820,295.4058376,335.2212595,1.396,0.716332378,3.00E-11,-2.400395938,1.719481331
17,20190816-1-scan-80,20190816,mp2,1,scan-80,14,40,0.82,0.05,320,11.6,30,27.59,0.473942456,-80.01298542,-80.01202161,166.5422779,649.8,308.2138147,650.045,406.7216673,740.525,372.7531902,-168.8242622,-4.550813007,6.807958054,-0.245,38.59060328,4652,222.6537333,253.8496179,1.446,0.691562932,2.40E-11,-1.920288519,1.328000359
18,20190816-2-scan-80,20190816,mp2,2,scan-80,4,40,0.82,0.05,330,5.5,55,24.42,1.288324406,-80.02010128,-80.01832806,1223.230846,650.92,210.0261838,649.605,170.637201,742.685,149.4531075,-62.11176388,4.34478494,4.520867972,1.315,26.9491248,4447,67.11493047,61.65247736,18.343,0.054516709,2.40E-11,-1.920439873,0.104696062
19,20190816-3-scan-80,20190816,mp2,3,scan-80,13,40,0.82,0.05,324,10.4,40,32.84,0.925525867,-80.01769184,-80.01869022,1096.513704,652.44,566.9383832,650.525,510.156238,748.445,432.8026391,-86.45646187,2.800247569,4.8442454,1.915,27.02147457,4189,179.8350077,135.2236002,4.293,0.23293734,2.40E-11,-1.920448565,0.44734418
20,20190816-4-scan-80,20190816,mp2,4,scan-80,9,40,0.82,0.05,0,5.1,60,32.17,1.243064521,-80.02370922,-80.02425489,371.8628385,651.88,330.725644,650.485,283.053846,743.205,249.1545969,-64.3761509,-1.381683643,4.785008383,1.395,25.30672556,4795,252.506742,183.128933,5.22,0.191570881,2.40E-11,-1.920582117,0.367927609
21,20190826-2-scan-80,20190826,mp2,2,scan-80,9,40,0.85,0.05,321,5.4,60,19.26,2.525053405,-80.02228604,-80.02063833,122.6172834,649.72,136.9913453,650.125,154.7481392,736.485,147.0162917,-31.69132418,0.502312325,3.96581358,-0.405,20.33138022,4387,61.49548606,59.75454585,0.854,1.170960187,2.40E-11,-1.92049532,2.24882356
22,20190826-3-scan-80,20190826,mp2,3,scan-80,3,40,0.85,0.05,321,8.5,50,19.96,2.33604896,-80.02377162,-80.02163484,720.1624385,651,168.9317189,650.245,183.6611031,748.325,173.2822934,-34.25603358,-0.727796637,3.332235497,0.755,17.38897412,4435,73.16086261,84.73215372,11.062,0.090399566,2.40E-11,-1.920519236,0.173614106
23,20190903-1-scan-80,20190903,mp2,1,scan-80,13,40,0.9,0.06,319,8.7,60,22.34,1.649511901,-80.01056349,-80.00811534,1097.778025,651.8,216.9662558,650.285,224.0806334,746.765,207.0064241,-48.5055994,-2.191163996,4.763690826,1.515,26.00961812,4479,109.7175293,96.63549323,12.755,0.078400627,2.40E-11,-1.920194768,0.150544474
24,20190903-2-scan-80,20190903,mp2,2,scan-80,11,40,0.9,0.06,0,5.2,50,18.64,1.242685566,-80.00887816,-80.00567765,389.9171936,649.88,202.3811588,649.965,252.2907132,749.885,235.6675925,-64.38384765,1.628135626,4.159971617,-0.085,22.42799371,4366,101.8024122,100.0726862,3.401,0.294031167,2.40E-11,-1.920136264,0.564579907
25,20190904-1-scan-80,20190904,mp2,1,scan-80,4,40,0.83,0.05,325,6,50,18.7,1.642731046,-80.00767962,-80.00613222,1609.754084,651.16,281.7783231,650.205,295.3936837,749.205,265.0334764,-48.70406498,0.291666421,3.634478047,0.955,18.46405666,4200,84.34429439,79.70419791,11.14,0.089766607,2.40E-11,-1.920147173,0.172365096
